Model,Study,Target,MSE_Mean,MSE_Std,MSE_CI_Low,MSE_CI_High,RMSE_Mean,RMSE_Std,RMSE_CI_Low,RMSE_CI_High,MAE_Mean,MAE_Std,MAE_CI_Low,MAE_CI_High,R2_Mean,R2_Std,R2_CI_Low,R2_CI_High,PCC_Mean,PCC_Std,PCC_CI_Low,PCC_CI_High
JointSyn,ALMANAC,synergy_bliss,13.1305,0.1121,12.9914,13.2697,3.6236,0.0155,3.6044,3.6428,2.5899,0.0099,2.5777,2.6022,0.6401,0.0054,0.6334,0.6467,0.8001,0.0034,0.7959,0.8044
JointSyn,ALMANAC,synergy_hsa,10.6523,0.1125,10.5127,10.792,3.2638,0.0172,3.2423,3.2852,2.3471,0.0103,2.3343,2.3599,0.6862,0.0045,0.6805,0.6918,0.8287,0.0028,0.8253,0.8321
JointSyn,ALMANAC,synergy_loewe,67.6774,1.9015,65.3164,70.0383,8.226,0.1157,8.0823,8.3696,5.0474,0.0352,5.0037,5.0912,0.6801,0.0047,0.6743,0.6859,0.8255,0.0026,0.8222,0.8288
JointSyn,ALMANAC,synergy_zip,10.2686,0.1219,10.1173,10.4199,3.2044,0.0191,3.1808,3.2281,2.2577,0.0071,2.2489,2.2666,0.6314,0.0046,0.6257,0.6371,0.7948,0.0029,0.7911,0.7984
JointSyn,ASTRAZENECA,synergy_bliss,174905.1415,195101.9845,-67345.9687,417156.2517,330.397,286.6683,-25.5487,686.3427,16.1463,7.3232,7.0533,25.2392,-8.3311,15.0812,-27.0569,10.3946,0.0621,0.1149,-0.0805,0.2047
JointSyn,ASTRAZENECA,synergy_hsa,75.3366,13.1334,59.0293,91.6439,8.6535,0.7526,7.719,9.588,4.9794,0.0959,4.8604,5.0985,0.1662,0.1237,0.0126,0.3199,0.5113,0.0726,0.4212,0.6015
JointSyn,ASTRAZENECA,synergy_loewe,774.0774,741.1404,-146.17,1694.3248,25.1638,13.2693,8.6878,41.6398,8.6595,0.8913,7.5529,9.7662,0.0912,0.1374,-0.0794,0.2619,0.438,0.1815,0.2126,0.6633
JointSyn,ASTRAZENECA,synergy_zip,41557.2699,81610.4208,-59775.4515,142889.9913,130.5436,175.0559,-86.817,347.9041,9.8713,4.039,4.8562,14.8863,0.0093,0.0129,-0.0068,0.0253,0.138,0.0277,0.1036,0.1724
JointSyn,DYALL,synergy_bliss,32.9838,11.5192,18.6808,47.2868,5.6791,0.9562,4.4918,6.8664,4.3022,0.4994,3.6822,4.9223,-0.0462,0.085,-0.1518,0.0593,0.3876,0.2045,0.1336,0.6415
JointSyn,DYALL,synergy_hsa,21.1027,9.0133,9.9113,32.2942,4.5089,0.9829,3.2885,5.7293,3.4125,0.6966,2.5476,4.2774,-0.272,0.2428,-0.5735,0.0295,0.1316,0.2206,-0.1423,0.4055
JointSyn,DYALL,synergy_loewe,299.7876,132.6527,135.0776,464.4976,16.7677,4.8259,10.7756,22.7598,11.6108,3.6265,7.1079,16.1137,-0.7116,1.3931,-2.4413,1.0182,0.4343,0.0878,0.3253,0.5434
JointSyn,DYALL,synergy_zip,26.7255,6.4085,18.7683,34.6827,5.135,0.6687,4.3047,5.9652,3.955,0.6663,3.1278,4.7823,-0.1487,0.1717,-0.3619,0.0645,0.4619,0.115,0.319,0.6047
JointSyn,FALLAHI-SICHANI,synergy_bliss,75.3641,67.4108,-8.3375,159.0657,7.7665,4.3368,2.3816,13.1513,6.1556,3.9813,1.2122,11.099,-0.0082,0.7662,-0.9596,0.9433,0.6561,0.2363,0.3627,0.9495
JointSyn,FALLAHI-SICHANI,synergy_hsa,70.7582,66.1638,-11.3951,152.9114,7.6139,3.9979,2.6499,12.5779,6.3851,3.7169,1.77,11.0003,0.4339,0.3806,-0.0387,0.9066,0.6344,0.5537,-0.053,1.3219
JointSyn,FALLAHI-SICHANI,synergy_loewe,148.4425,49.0792,87.5027,209.3823,12.0509,2.0058,9.5604,14.5414,9.8401,1.0951,8.4804,11.1999,-0.0386,0.7562,-0.9775,0.9004,0.8066,0.1351,0.6389,0.9743
JointSyn,FALLAHI-SICHANI,synergy_zip,85.4369,67.6043,1.495,169.3788,8.4785,4.1159,3.3679,13.589,6.6854,3.6209,2.1894,11.1814,-1.0372,2.089,-3.6311,1.5566,0.3113,0.632,-0.4734,1.0961
JointSyn,FLOBAK,synergy_bliss,9.5786,2.099,6.9724,12.1848,3.0801,0.3382,2.6602,3.5,2.2465,0.171,2.0342,2.4588,0.7889,0.035,0.7454,0.8323,0.8936,0.0201,0.8687,0.9185
JointSyn,FLOBAK,synergy_hsa,9.8335,1.3522,8.1545,11.5125,3.13,0.2147,2.8633,3.3966,2.2764,0.1007,2.1513,2.4014,0.6967,0.0265,0.6638,0.7297,0.8376,0.0165,0.8171,0.8581
JointSyn,FLOBAK,synergy_loewe,14.9621,1.1691,13.5105,16.4137,3.8658,0.1502,3.6793,4.0523,2.8433,0.0468,2.7852,2.9015,0.7223,0.0257,0.6904,0.7541,0.8637,0.0157,0.8442,0.8832
JointSyn,FLOBAK,synergy_zip,6.8384,1.628,4.8169,8.8598,2.5991,0.322,2.1994,2.9989,1.7623,0.1464,1.5805,1.9441,0.7524,0.0541,0.6852,0.8195,0.8686,0.032,0.8289,0.9083
JointSyn,FORCINA,synergy_bliss,267.8719,44.6564,212.4236,323.3202,16.3197,1.3866,14.5981,18.0414,12.5698,0.7944,11.5835,13.5561,-0.0528,0.1257,-0.2089,0.1033,0.2178,0.0621,0.1407,0.2949
JointSyn,FORCINA,synergy_hsa,194.4348,46.1998,137.0701,251.7994,13.8647,1.6603,11.8031,15.9262,10.0285,1.211,8.5248,11.5321,0.0461,0.0771,-0.0497,0.1418,0.3391,0.0628,0.2611,0.4171
JointSyn,FORCINA,synergy_loewe,201.5384,48.611,141.1798,261.897,14.1097,1.7518,11.9346,16.2848,10.0814,1.182,8.6138,11.549,0.0134,0.0785,-0.0841,0.1108,0.311,0.0711,0.2228,0.3993
JointSyn,FORCINA,synergy_zip,275.5911,55.3237,206.8977,344.2846,16.5333,1.6741,14.4546,18.612,12.7489,0.9948,11.5136,13.9841,-0.0805,0.1524,-0.2698,0.1088,0.2141,0.0681,0.1295,0.2987
JointSyn,FRIEDMAN,synergy_bliss,85.1453,2.4219,82.1381,88.1524,9.2267,0.1314,9.0635,9.3899,6.6832,0.0395,6.6342,6.7323,0.943,0.0016,0.941,0.9449,0.9713,0.0008,0.9703,0.9724
JointSyn,FRIEDMAN,synergy_hsa,85.785,2.5206,82.6553,88.9147,9.2612,0.1361,9.0922,9.4302,6.7259,0.0525,6.6607,6.791,0.7768,0.0036,0.7723,0.7813,0.8825,0.0024,0.8795,0.8854
JointSyn,FRIEDMAN,synergy_loewe,109.6563,1.9853,107.1912,112.1214,10.4713,0.0949,10.3535,10.5892,7.6983,0.0654,7.6172,7.7794,0.538,0.0031,0.5341,0.5418,0.735,0.0022,0.7323,0.7377
JointSyn,FRIEDMAN,synergy_zip,48.9806,1.6966,46.8741,51.0872,6.9978,0.1206,6.8481,7.1475,5.0234,0.0359,4.9787,5.068,0.8711,0.0044,0.8656,0.8766,0.9351,0.0017,0.933,0.9373
JointSyn,NCATS_2D_3D,synergy_bliss,14.5641,9.2359,3.0962,26.032,3.5698,1.5085,1.6968,5.4429,2.8417,1.3614,1.1512,4.5321,-1.5356,2.126,-4.1753,1.1042,-0.0846,0.7058,-0.961,0.7918
JointSyn,NCATS_2D_3D,synergy_hsa,22.8742,17.3206,1.3678,44.3806,4.5674,1.5864,2.5976,6.5371,3.5524,1.5546,1.6221,5.4827,-6.0902,12.5088,-21.6219,9.4416,0.2616,0.8012,-0.7332,1.2564
JointSyn,NCATS_2D_3D,synergy_loewe,31.7143,16.4374,11.3046,52.124,5.4713,1.4913,3.6195,7.323,4.1157,0.7613,3.1704,5.0611,-21.0568,46.8075,-79.1759,37.0624,0.2378,0.7753,-0.7249,1.2005
JointSyn,NCATS_2D_3D,synergy_zip,12.04,4.6846,6.2233,17.8567,3.4186,0.6647,2.5932,4.2439,3.1028,0.9089,1.9742,4.2313,-19.5053,43.2619,-73.2221,34.2115,0.7785,0.2414,0.4788,1.0783
JointSyn,NCATS_ES(FAKI_AURKI),synergy_bliss,22.0216,4.0932,16.9392,27.1041,4.6779,0.4169,4.1603,5.1955,3.4896,0.0731,3.3988,3.5803,-0.011,0.014,-0.0284,0.0064,0.06,0.0473,0.0012,0.1187
JointSyn,NCATS_ES(FAKI_AURKI),synergy_hsa,12.2095,4.1559,7.0492,17.3698,3.4593,0.5507,2.7756,4.1431,2.4005,0.1257,2.2445,2.5566,-0.0034,0.003,-0.0072,0.0004,0.0045,0.0557,-0.0647,0.0737
JointSyn,NCATS_ES(FAKI_AURKI),synergy_loewe,31.7961,1.0183,30.5317,33.0605,5.6382,0.0907,5.5256,5.7508,4.5998,0.1303,4.438,4.7616,-0.0108,0.0492,-0.0719,0.0503,0.2319,0.0341,0.1896,0.2741
JointSyn,NCATS_ES(FAKI_AURKI),synergy_zip,14.3362,2.1182,11.7061,16.9663,3.7785,0.2713,3.4416,4.1154,2.914,0.1843,2.6852,3.1428,-0.0415,0.0517,-0.1057,0.0228,0.107,0.0565,0.0369,0.1771
JointSyn,NCATS_ES(NAMPT+PARP),synergy_bliss,125.8604,16.6091,105.2375,146.4833,11.1996,0.7332,10.2892,12.1099,7.6543,0.2932,7.2902,8.0184,0.2751,0.0343,0.2325,0.3177,0.5441,0.0329,0.5032,0.585
JointSyn,NCATS_ES(NAMPT+PARP),synergy_hsa,64.146,8.4812,53.6152,74.6768,7.9946,0.5385,7.3259,8.6633,5.2998,0.2363,5.0064,5.5932,0.1852,0.0693,0.0992,0.2712,0.453,0.0479,0.3935,0.5125
JointSyn,NCATS_ES(NAMPT+PARP),synergy_loewe,138.444,9.0425,127.2163,149.6717,11.7613,0.3795,11.2902,12.2325,7.9728,0.3308,7.5621,8.3835,0.2296,0.0368,0.1839,0.2753,0.5118,0.0239,0.4821,0.5415
JointSyn,NCATS_ES(NAMPT+PARP),synergy_zip,80.1328,10.9827,66.496,93.7696,8.9354,0.6034,8.1862,9.6846,6.4865,0.2925,6.1234,6.8497,0.3281,0.065,0.2474,0.4088,0.6129,0.0364,0.5678,0.6581
JointSyn,NCATS_HL,synergy_bliss,436.9959,130.8253,274.5548,599.4369,20.7208,3.0909,16.883,24.5587,11.9201,0.8295,10.8902,12.95,0.2802,0.0673,0.1967,0.3637,0.545,0.0646,0.4648,0.6252
JointSyn,NCATS_HL,synergy_hsa,68.867,11.662,54.3867,83.3473,8.2736,0.7196,7.3801,9.1671,5.9544,0.4427,5.4047,6.5042,-0.0984,0.1168,-0.2434,0.0466,0.2142,0.0765,0.1192,0.3092
JointSyn,NCATS_HL,synergy_loewe,200.0503,18.4535,177.1372,222.9633,14.1321,0.6472,13.3284,14.9357,10.9716,0.4709,10.3869,11.5562,0.0989,0.0832,-0.0044,0.2021,0.393,0.0586,0.3202,0.4657
JointSyn,NCATS_HL,synergy_zip,395.2335,126.2888,238.4252,552.0418,19.6876,3.0888,15.8524,23.5228,11.0721,0.988,9.8453,12.2989,0.329,0.0781,0.232,0.426,0.5865,0.072,0.4971,0.6758
JointSyn,ONEIL,synergy_bliss,17.7622,1.0994,16.3971,19.1272,4.2129,0.1308,4.0505,4.3753,2.6671,0.042,2.6149,2.7193,0.6417,0.0172,0.6204,0.6631,0.8042,0.0103,0.7915,0.8169
JointSyn,ONEIL,synergy_hsa,19.3103,0.9014,18.191,20.4296,4.3934,0.1036,4.2647,4.5221,2.7617,0.0558,2.6925,2.831,0.6127,0.0133,0.5962,0.6293,0.7886,0.0078,0.7789,0.7983
JointSyn,ONEIL,synergy_loewe,48.2417,1.6893,46.1441,50.3393,6.9448,0.1218,6.7936,7.096,4.4185,0.0551,4.3501,4.4868,0.7926,0.011,0.7789,0.8062,0.8939,0.0074,0.8847,0.9032
JointSyn,ONEIL,synergy_zip,10.6604,0.3917,10.174,11.1468,3.2646,0.06,3.1901,3.339,2.3142,0.0462,2.2569,2.3716,0.6849,0.0132,0.6686,0.7012,0.8314,0.0073,0.8223,0.8404
JointSyn,YOHE,synergy_bliss,79.5745,13.8593,62.3659,96.7831,8.8928,0.7846,7.9185,9.8671,7.0534,0.9699,5.8491,8.2577,-0.3322,0.328,-0.7395,0.0751,0.2041,0.1652,-0.0011,0.4092
JointSyn,YOHE,synergy_hsa,26.9784,6.8003,18.5348,35.422,5.1624,0.6406,4.3669,5.9578,3.7853,0.407,3.2799,4.2906,0.1063,0.1383,-0.0654,0.2779,0.406,0.1169,0.2608,0.5511
JointSyn,YOHE,synergy_loewe,44.7863,11.103,31.0001,58.5725,6.6532,0.8068,5.6514,7.6551,4.9309,0.3445,4.5031,5.3587,0.0419,0.1394,-0.1312,0.215,0.3868,0.1527,0.1972,0.5764
JointSyn,YOHE,synergy_zip,74.6415,7.6969,65.0845,84.1985,8.6305,0.4407,8.0833,9.1778,6.9556,0.6453,6.1544,7.7568,-0.4831,0.4662,-1.062,0.0958,0.1348,0.148,-0.049,0.3185
MTLSynergy,FORCINA,synergy_loewe,196.3783,32.1363,,,13.9644,1.1725,,,10.1632,0.6166,,,0.0297,0.0493,,,0.3458,0.0539,,
MTLSynergy,NCATS_ES(FAKI_AURKI),synergy_loewe,35.7484,3.0992,,,5.9731,0.2658,,,4.7216,0.1732,,,-0.1354,0.0956,,,0.197,0.053,,
MTLSynergy,NCATS_HL,synergy_loewe,225.702,16.4043,,,15.0136,0.5419,,,11.5165,0.4992,,,-0.0172,0.08,,,0.3443,0.056,,
MTLSynergy,FRIEDMAN,synergy_loewe,102.8035,1.6405,,,10.1389,0.081,,,7.4252,0.0439,,,0.5668,0.0018,,,0.7537,0.0008,,
MTLSynergy,ASTRAZENECA,synergy_loewe,803.8329,614.3208,,,26.1869,10.8664,,,8.0602,0.1914,,,-0.1175,0.5955,,,0.4929,0.1247,,
MTLSynergy,FLOBAK,synergy_loewe,15.6905,1.4674,,,3.9567,0.1864,,,2.85,0.1079,,,0.7073,0.0426,,,0.846,0.0256,,
MTLSynergy,NCATS_ES(NAMPT+PARP),synergy_loewe,157.2099,12.1539,,,12.5293,0.4756,,,8.642,0.2688,,,0.1241,0.0716,,,0.4512,0.051,,
MTLSynergy,ALMANAC,synergy_loewe,76.5158,2.1704,,,8.7464,0.1242,,,5.3827,0.0334,,,0.6384,0.0057,,,0.8012,0.003,,
MTLSynergy,YOHE,synergy_loewe,42.7583,12.7783,,,6.4673,0.9658,,,4.8397,0.6487,,,0.0888,0.2204,,,0.4549,0.0957,,
MTLSynergy,FALLAHI-SICHANI,synergy_loewe,103.5394,37.8828,,,9.958,2.0925,,,8.1375,1.83,,,0.3192,0.3681,,,0.8063,0.1204,,
MTLSynergy,DYALL,synergy_loewe,242.1704,82.8804,,,15.3222,2.7203,,,10.892,1.9748,,,-0.6899,1.3011,,,0.55,0.1294,,
MTLSynergy,ONEIL,synergy_loewe,42.2994,1.4412,,,6.5029,0.1105,,,4.1623,0.038,,,0.8181,0.0097,,,0.9053,0.0061,,
MTLSynergy,NCATS_2D_3D,synergy_loewe,15.0226,9.1413,,,3.524,1.6137,,,2.0302,0.9348,,,0.1394,0.3999,,,0.6307,0.3567,,
MTLSynergy,FORCINA,synergy_bliss,285.5869,26.0034,,,16.8819,0.768,,,12.9631,0.4481,,,-0.125,0.0318,,,0.2077,0.0288,,
MTLSynergy,NCATS_ES(FAKI_AURKI),synergy_bliss,26.2911,5.0244,,,5.1058,0.4707,,,3.8694,0.1972,,,-0.2025,0.0409,,,0.0628,0.0727,,
MTLSynergy,NCATS_HL,synergy_bliss,489.2605,136.0036,,,21.9126,3.0163,,,13.2803,0.8254,,,0.1977,0.0408,,,0.5204,0.0613,,
MTLSynergy,FRIEDMAN,synergy_bliss,82.1664,1.5418,,,9.0642,0.0849,,,6.5679,0.0242,,,0.945,0.0012,,,0.9726,0.0006,,
MTLSynergy,ASTRAZENECA,synergy_bliss,179248.9939,193455.7177,,,337.4404,255.7009,,,15.6779,5.8644,,,-332.8101,663.5326,,,0.267,0.2214,,
MTLSynergy,FLOBAK,synergy_bliss,11.0603,1.6638,,,3.3165,0.2473,,,2.334,0.12,,,0.7559,0.0241,,,0.8699,0.0137,,
MTLSynergy,NCATS_ES(NAMPT+PARP),synergy_bliss,144.155,13.0503,,,11.9944,0.5384,,,8.565,0.2815,,,0.1677,0.0254,,,0.4901,0.0162,,
MTLSynergy,ALMANAC,synergy_bliss,15.736,0.2334,,,3.9668,0.0293,,,2.7601,0.0115,,,0.5687,0.0047,,,0.7552,0.0026,,
MTLSynergy,YOHE,synergy_bliss,53.051,11.8881,,,7.2423,0.7747,,,5.8621,0.4539,,,0.1066,0.2244,,,0.4269,0.1603,,
MTLSynergy,FALLAHI-SICHANI,synergy_bliss,112.1678,71.6052,,,9.8382,3.9214,,,8.2829,3.2531,,,-1.1041,2.0894,,,0.3006,0.5676,,
MTLSynergy,DYALL,synergy_bliss,30.1687,5.6678,,,5.4703,0.4945,,,4.3206,0.5342,,,0.0053,0.1624,,,0.4137,0.066,,
MTLSynergy,ONEIL,synergy_bliss,16.5827,1.6299,,,4.0673,0.1999,,,2.548,0.0603,,,0.6655,0.0314,,,0.817,0.0188,,
MTLSynergy,NCATS_2D_3D,synergy_bliss,12.4816,5.7303,,,3.4424,0.7948,,,2.265,0.5365,,,-2.726,4.1607,,,0.008,0.7376,,
MTLSynergy,FORCINA,synergy_zip,286.4976,35.3074,,,16.8948,1.0306,,,13.0434,0.6434,,,-0.1259,0.0562,,,0.2129,0.0511,,
MTLSynergy,NCATS_ES(FAKI_AURKI),synergy_zip,16.2608,1.4518,,,4.0286,0.1777,,,3.1425,0.1035,,,-0.1857,0.0345,,,0.0931,0.0602,,
MTLSynergy,NCATS_HL,synergy_zip,441.7934,123.2945,,,20.8267,2.8357,,,11.9568,0.7003,,,0.2501,0.0596,,,0.5654,0.057,,
MTLSynergy,FRIEDMAN,synergy_zip,45.7457,0.7636,,,6.7633,0.0566,,,4.8091,0.0314,,,0.8796,0.003,,,0.9386,0.0017,,
MTLSynergy,ASTRAZENECA,synergy_zip,74314.6791,69965.0981,,,240.6764,128.0216,,,14.6205,1.6889,,,-202.594,392.7751,,,0.0945,0.1567,,
MTLSynergy,FLOBAK,synergy_zip,7.4305,1.3643,,,2.715,0.2436,,,1.7531,0.1221,,,0.7316,0.0387,,,0.856,0.0222,,
MTLSynergy,NCATS_ES(NAMPT+PARP),synergy_zip,90.7099,11.9027,,,9.5051,0.6032,,,6.977,0.2887,,,0.2404,0.0593,,,0.5436,0.0375,,
MTLSynergy,ALMANAC,synergy_zip,11.9351,0.169,,,3.4546,0.0245,,,2.3846,0.0155,,,0.5716,0.0062,,,0.7575,0.0039,,
MTLSynergy,YOHE,synergy_zip,49.7954,9.2238,,,7.0296,0.6163,,,5.5326,0.3328,,,0.0444,0.1653,,,0.3862,0.118,,
MTLSynergy,FALLAHI-SICHANI,synergy_zip,82.6044,53.6558,,,8.6279,2.8572,,,7.2223,2.567,,,-1.3607,1.6092,,,0.2863,0.5474,,
MTLSynergy,DYALL,synergy_zip,19.2089,3.3103,,,4.3661,0.382,,,3.3761,0.3977,,,0.1516,0.1802,,,0.5333,0.0894,,
MTLSynergy,ONEIL,synergy_zip,9.6413,0.3645,,,3.1045,0.0588,,,2.1813,0.0365,,,0.715,0.0115,,,0.8469,0.0076,,
MTLSynergy,NCATS_2D_3D,synergy_zip,10.6304,5.2628,,,3.174,0.7456,,,2.0343,0.6335,,,-10.2438,20.0716,,,0.3967,0.6341,,
MTLSynergy,FORCINA,synergy_hsa,198.2093,32.8707,,,14.0294,1.1773,,,10.2144,0.643,,,0.0197,0.0591,,,0.3364,0.0502,,
MTLSynergy,NCATS_ES(FAKI_AURKI),synergy_hsa,15.7919,4.1399,,,3.9427,0.4968,,,2.7916,0.1537,,,-0.3134,0.1213,,,-0.0076,0.0455,,
MTLSynergy,NCATS_HL,synergy_hsa,69.1934,11.4444,,,8.2905,0.6791,,,5.9637,0.2587,,,-0.1039,0.1124,,,0.24,0.087,,
MTLSynergy,FRIEDMAN,synergy_hsa,81.0332,2.1703,,,9.001,0.1207,,,6.506,0.0424,,,0.7892,0.0034,,,0.8897,0.0019,,
MTLSynergy,ASTRAZENECA,synergy_hsa,62.4226,5.7159,,,7.8926,0.3599,,,4.5542,0.1941,,,0.3066,0.0641,,,0.5898,0.0374,,
MTLSynergy,FLOBAK,synergy_hsa,10.273,1.233,,,3.1996,0.1893,,,2.2834,0.0957,,,0.6836,0.0148,,,0.8289,0.0094,,
MTLSynergy,NCATS_ES(NAMPT+PARP),synergy_hsa,76.9697,8.3547,,,8.7604,0.4753,,,5.9799,0.2225,,,0.0184,0.1044,,,0.3624,0.0539,,
MTLSynergy,ALMANAC,synergy_hsa,12.8167,0.0842,,,3.58,0.0117,,,2.5007,0.0065,,,0.6224,0.0029,,,0.7909,0.0017,,
MTLSynergy,YOHE,synergy_hsa,25.2001,4.0366,,,5.0044,0.3949,,,3.7461,0.1027,,,0.156,0.1158,,,0.4964,0.0493,,
MTLSynergy,FALLAHI-SICHANI,synergy_hsa,83.4312,46.5659,,,8.7136,2.7395,,,7.1373,2.1804,,,0.212,0.3009,,,0.6724,0.3791,,
MTLSynergy,DYALL,synergy_hsa,19.4777,7.5517,,,4.3333,0.8366,,,3.0355,0.3517,,,-0.1816,0.2229,,,0.33,0.1252,,
MTLSynergy,ONEIL,synergy_hsa,17.4881,0.9909,,,4.1802,0.1189,,,2.6199,0.0556,,,0.6494,0.0152,,,0.8078,0.0089,,
MTLSynergy,NCATS_2D_3D,synergy_hsa,7.6275,5.4775,,,2.5261,1.1163,,,1.59,0.7398,,,0.0376,0.674,,,0.3159,0.7668,,
